Namespace(modes=6, res1d=10, width=64, seed=3)
torch.Size([1200, 4325, 1]) torch.Size([1200, 4325, 1]) torch.Size([1200, 4325, 3]) torch.Size([1200, 4325, 3])
61 1.3505583889782429 0.03991522574424743 0.03157829999923706
62 1.350651788059622 0.0383552074432373 0.034386730194091795
63 1.3508077641017735 0.03722257542610168 0.025523964166641235
64 1.3505792368669063 0.03660397434234619 0.03449975848197937
65 1.354847394861281 0.03452886724472046 0.020450830459594727
66 1.3504381768871099 0.02528285849094391 0.01592130959033966
67 1.3510202961042523 0.018053313374519347 0.01585982918739319
68 1.351043147034943 0.02967465913295746 0.035007587671279906
69 1.3508852580562234 0.03269580268859863 0.04544092655181885
70 1.3506671760696918 0.03534469628334046 0.030736262798309325
71 1.3505381438881159 0.03585391068458557 0.034329710006713865
72 1.3503617229871452 0.03552306365966797 0.04010465621948242
73 1.350779749918729 0.03535044836997986 0.034395344257354736
74 1.352058103075251 0.03292031311988831 0.026248046159744264
75 1.350641102064401 0.032468693256378175 0.023043789863586427
76 1.3503408539108932 0.03187873530387878 0.013835817575454712
77 1.3509168790187687 0.02002921712398529 0.01724384129047394
78 1.3506491580046713 0.017040024995803833 0.014375479817390442
79 1.350794430822134 0.019138938546180727 0.030045212507247926
80 1.3537651989609003 0.025153132915496826 0.029508352279663086
81 1.3511400448624045 0.02356131637096405 0.016091434955596923
82 1.351501121884212 0.01854554510116577 0.01603860259056091
83 1.3503187568858266 0.0167958083152771 0.020816720724105835
84 1.3511015679687262 0.016217219233512877 0.018901859521865846
85 1.3504706968087703 0.016860116124153137 0.030247907638549804
86 1.3503065460827202 0.02348864126205444 0.016902755498886108
87 1.3505179469939321 0.026605990767478944 0.04073991298675537
88 1.350108586018905 0.03365666246414185 0.03501202464103699
89 1.3501545269973576 0.03601458406448364 0.029421054124832154
90 1.3502282749395818 0.03335039615631104 0.039601835012435915
91 1.351484369020909 0.03373000884056091 0.03817654609680176
92 1.350859598023817 0.034166748046875 0.037083837985992435
93 1.3509959790389985 0.034622856616973875 0.020746231079101562
94 1.3508079159073532 0.024647332787513732 0.023579007387161253
95 1.3511203748639673 0.019026539444923402 0.027036399841308595
96 1.3520913168322295 0.023925188541412352 0.028706531524658203
97 1.3511768521275371 0.02517464017868042 0.03373446941375732
98 1.3510044270660728 0.03262394344806671 0.03873191475868225
99 1.3544662890490144 0.03042809247970581 0.04552507162094116
100 1.3526826419401914 0.03466359281539917 0.027809386253356935
101 1.3514147701207548 0.02553720211982727 0.0204451060295105
102 1.351212952984497 0.023462324857711794 0.04690080165863037
103 1.3522542989812791 0.03148621964454651 0.026421804428100586
104 1.3518620249815285 0.0315223228931427 0.02692288875579834
105 1.351640828186646 0.027648521304130553 0.04105778217315674
106 1.3513767919503152 0.03107301378250122 0.021315269470214844
107 1.35117343114689 0.029783241987228395 0.020869271755218508
108 1.3519251511897892 0.02882227802276611 0.015542354583740235
109 1.351696518016979 0.028681564092636107 0.030592676401138306
110 1.3515882310457528 0.02823535990715027 0.02602936029434204
111 1.3519377051852643 0.02756822109222412 0.01916878402233124
112 1.3524322020821273 0.02844891655445099 0.019201760888099672
113 1.352201122092083 0.028562062740325928 0.031569827795028683
114 1.3521042871288955 0.027329710960388182 0.029803926944732665
115 1.3520447651389986 0.028365915060043333 0.030784455537796022
116 1.3519496510270983 0.027402854681015016 0.031104553937911988
117 1.351168820168823 0.026090962052345276 0.038928542137146
118 1.3510438948869705 0.03048174500465393 0.027475454807281495
119 1.3513178578577936 0.028097399592399597 0.028186103105545045
120 1.3517707521095872 0.02765356683731079 0.028141244649887084
121 1.352004474028945 0.028274149894714357 0.02516622543334961
122 1.3558772960677743 0.024937513828277587 0.03174012780189514
123 1.3530239220708609 0.027890620827674864 0.02938283085823059
124 1.3519664690829813 0.03244415140151977 0.03610680341720581
125 1.352353410096839 0.023549734711647032 0.018305968046188354
